Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Ace of Base,Lucky Love,The Bridge,album,0.769,0.662,-7.238,0.0319,0.129,0.00102,0.0814,0.863,104.104,2.929116666666667,Ace of Base - Lucky Love (Official Music Video),Ace of Base,8790417.0,31106.0,1080.0,True,True,5505208.0,8.132678132678134,Youtube
Harry Styles,Golden,Fine Line,album,0.448,0.838,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863,3.481783333333333,Harry Styles - Golden (Official Video),HarryStylesVEVO,214177834.0,4735089.0,311347.0,True,True,724101417.0,6.396946564885496,Spotify
Commodores,Three Times A Lady,Natural High,album,0.487,0.094,-19.555,0.0274,0.834,0.000224,0.172,0.0788,74.857,6.641783333333334,Commodores - Three Times A Lady [Live],TheSoulKings,9080536.0,60229.0,3746.0,False,False,36098941.0,0.5465116279069768,Spotify
Natalia Lafourcade,En el 2000,Natalia Lafourcade,album,0.546,0.678,-7.733,0.0819,0.474,0.0,0.353,0.825,95.027,3.583333333333333,Natalia Lafourcade - En el 2000 ((2da Version) (Video)),NLaFourcadeVEVO,46991132.0,254996.0,7309.0,True,True,79552716.0,1.9206798866855528,Spotify
TLC,Creep,Crazysexycool,album,0.811,0.458,-9.688,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,4.47555,TLC - Creep (Official HD Video),TLCVEVO,111070290.0,649654.0,22629.0,True,True,151814181.0,8.707224334600761,Spotify
The Wiggles,Hot Potato,Yummy Yummy,album,0.669,0.737,-7.974,0.0975,0.0289,0.0,0.204,0.948,170.925,1.3511166666666667,The Wiggles - Hot Potato Hot potato,Rhys Yergs,1432178.0,6540.0,0.0,False,False,36201096.0,3.612745098039216,Spotify
Ludovico Einaudi,Rolling Like A Ball,Underwater,album,0.208,0.012,-29.933,0.0422,0.987,0.919,0.1,0.0391,175.159,4.28695,Ludovico Einaudi - Rolling Like A Ball (Performance Video),LudovicoEinaudiVEVO,473964.0,10849.0,425.0,True,True,13213932.0,0.12,Spotify
Florida Georgia Line,May We All,Dig Your Roots,album,0.514,0.918,-4.306,0.0365,0.0409,0.0,0.342,0.64,150.033,3.76955,Florida Georgia Line - May We All ft. Tim McGraw,FlaGeorgiaLineVEVO,98437204.0,372451.0,10036.0,True,True,272707182.0,2.6842105263157894,Spotify
blackbear,do re mi,digital druglord,album,0.745,0.593,-6.35,0.0524,0.00522,5.06e-06,0.123,0.17,111.001,3.533783333333333,blackbear - do re mi ft. Gucci Mane (Official Music Video),blackbearVEVO,204429389.0,2299535.0,57248.0,True,True,558809408.0,4.821138211382114,Spotify
Mijares,Ven A Cantar,Eterna Navidad,album,0.634,0.662,-8.299,0.0292,0.235,0.0,0.0413,0.375,111.638,3.9966666666666666,Mijares - Ven A Cantar (feat. La Hermandad) [Video Oficial],Warner Music México,3230909.0,37133.0,2273.0,True,True,17146691.0,16.02905569007264,Spotify
